type,beta,h,m,q0,q1,p,err,complexity_p1,average,replicon,entropy,computed_m
finite M,14.1,-0.5032952764798041,0.38,0.3118661796669718,0.34755204574715604,0.37624815393218514,9.563750612451124e-7,-0.006050534276718533,3.1697086466964373,-0.00025052073370358027,0.05479743168682072,0.37999993674907384
finite M,14.2,-0.5032971282973593,0.38,0.3119183656401681,0.3479490112347335,0.37470861104003483,9.976636051820157e-7,-0.006318939093928222,3.170449982490586,-0.0002545846404270573,0.05403430926224839,0.3799999338189371
finite M,14.3,-0.5032988734765803,0.38,0.311971354284485,0.3483382237635657,0.3731961905489779,9.9017074705569e-7,-0.006593074666739973,3.1711723941421113,-0.0002585289974233653,0.053285239363635384,0.37999993154883355
finite M,14.4,-0.5033005425324935,0.38,0.31202425698096825,0.34871992077727126,0.3717018926979944,9.787534087895385e-7,-0.006873034538350087,3.1718759133459176,-0.00026236568381945904,0.052550463891147814,0.37999992998892856
finite M,14.5,-0.5033020985972582,0.38,0.3120773841491992,0.34909445273839995,0.3702307964915772,9.60284946331539e-7,-0.007158769455253289,3.1725608104498755,-0.0002660696459069649,0.051829976621068585,0.379999929708119
finite M,14.6,-0.5033034078346276,0.38,0.3121307486225685,0.34946278516539964,0.36879522524559627,9.95529343058069e-7,-0.007450215497030843,3.173225075956309,-0.0002695325285069824,0.05112617131351227,0.3799999335762092
finite M,14.7,-0.5033040395900963,0.38,0.3121889513603818,0.3498265099688959,0.36746095242027804,9.711204396182227e-7,-0.007747497601072961,3.1738671551128843,-0.0002724813408761283,0.05044101404924506,0.37999994714004337
finite M,14.8,-0.5033033481397227,0.38,0.3122551552974812,0.35018856504172924,0.3662998616797316,9.560744382881543e-7,-0.008050557400969716,3.1744796961692194,-0.00027447885901280174,0.04978271698244585,0.3799999816630896
finite M,14.9,-0.5033001097899746,0.38,0.31233669311128054,0.35055314819985767,0.36544029652063204,9.173488022106013e-7,-0.00835940388984513,3.1750516173731604,-0.0002748488391227915,0.049163718725871774,0.3800000572885411
finite M,15.0,-0.5032958352280065,0.38,0.31245511791504615,0.350910969304459,0.364922988440714,9.88319997259602e-7,-0.008674988939369133,3.175636010905308,-0.00027455896891669974,0.048527268436441506,0.380000124446112
finite M,15.1,-0.5032988839452918,0.38,0.31249363727076274,0.35123714286707963,0.3632726415428578,9.787917929841332e-7,-0.008996646941307418,3.1762409631766935,-0.0002790842132486008,0.047864302262001335,0.38000009868569623
finite M,15.2,-0.5033006639706172,0.38,0.31254056874509917,0.35156216314097755,0.3617972576975533,9.91975180208489e-7,-0.009322761698920434,3.176819503869367,-0.0002826768654996519,0.04722571692222344,0.38000009260570405
finite M,15.3,-0.5033021633678214,0.38,0.3125883637114537,0.35188226111553667,0.3603632579787772,9.696461083591256e-7,-0.009654853755584725,3.1773808211268006,-0.0002860172556138005,0.04660183952194874,0.3800000911724793
finite M,15.4,-0.5033034478547431,0.38,0.3126377604387546,0.3521970595326983,0.35896791542888185,9.93940155276601e-7,-0.009992757834880184,3.177927665427595,-0.0002891690417928198,0.045989884699575434,0.3800000923438365
finite M,15.5,-0.5033047048153256,0.38,0.3126865204103388,0.35250615698585486,0.35758226538908394,9.96037110782133e-7,-0.010336481998455938,3.1784609166871234,-0.0002922473653091135,0.0453890877846681,0.38000009398181683
finite M,15.6,-0.5033059539872605,0.38,0.31273483908131255,0.352809562125018,0.35620577494464,9.97748524625346e-7,-0.010686036595419335,3.1789816002532985,-0.0002952685722152947,0.04479849493118149,0.38000009550585134
finite M,15.7,-0.5033071954961978,0.38,0.31278273010196184,0.35310741620214925,0.3548384724656652,9.993945733309455e-7,-0.011041432894931535,3.179490095430817,-0.0002982330244282669,0.04421785806089629,0.38000009691939457
finite M,15.8,-0.5033085362843754,0.38,0.31282903738615175,0.35339954139661983,0.35346562135294,9.68577937858371e-7,-0.01140268301045122,3.1799871580230827,-0.00030120369122336576,0.04364649279857025,0.38000009690814485
finite M,15.9,-0.5033097162684821,0.38,0.31287676362606964,0.3536868148920651,0.3521240827807861,9.951226686637105e-7,-0.011769708113726018,3.180472392323684,-0.0003040291452079836,0.0430850122819284,0.38000009855389366
finite M,16.0,-0.5033110156707367,0.38,0.31292250752445994,0.3539685998108927,0.350773286245524,9.691871850995805e-7,-0.012142706318521324,3.180946659499965,-0.00030687144368310004,0.042532599691825546,0.38000009871995244
finite M,16.1,-0.5033121627908547,0.38,0.31296956183243324,0.3542457618271147,0.34945194333859114,9.962399646647843e-7,-0.012521601583839193,3.18140975877552,-0.000309575487589741,0.04198964165629482,0.38000010048001226
finite M,16.2,-0.5033134443351794,0.38,0.31301457430612456,0.3545176278205966,0.34812010547617844,9.720987993127152e-7,-0.012906407721966051,3.1818626920007693,-0.0003123056667792977,0.04145513488615382,0.3800001005099954
finite M,16.3,-0.503314570872881,0.38,0.3130608897391008,0.3547851218741177,0.3468173421352909,9.984375626235007e-7,-0.013297140164497456,3.182304999060098,-0.0003148977912668747,0.04092976119832059,0.380000102229187
finite M,16.4,-0.5033158405273366,0.38,0.313105148951674,0.35504752133733025,0.3455035946522048,9.753046067802704e-7,-0.01369381473108211,3.1827378442253256,-0.0003175213776733213,0.04041230334385171,0.38000010206030815
finite M,16.5,-0.5033170701461498,0.38,0.3131495323162844,0.35530543663137865,0.3442040065475134,9.715726657573802e-7,-0.014096447509535093,3.1831611258893524,-0.00032007339161912096,0.039903013205647486,0.38000010210898644
finite M,16.6,-0.5033181497891003,0.38,0.31319493116886515,0.35555932781274463,0.34293068346188893,9.993096871979349e-7,-0.014505054743517043,3.183574293031206,-0.0003224927441765357,0.03940268796909718,0.3800001040446863
finite M,16.7,-0.5033193934625295,0.38,0.31323817329299875,0.35580837851025143,0.34164464821245344,9.785520534625506e-7,-0.014919652711656628,3.1839790252056437,-0.000324955946085872,0.03890945879496721,0.38000010373871085
finite M,16.8,-0.5033205997290648,0.38,0.3132815086616851,0.35605325359519135,0.3403720422772326,9.750448772854616e-7,-0.015340257597009632,3.1843749647610315,-0.00032735093189478846,0.0384238737961522,0.3800001036495151
finite M,16.9,-0.5033217796147156,0.38,0.31332466103455703,0.3562940408332655,0.3391103976467071,9.740349907447128e-7,-0.015766885345439796,3.184762159909629,-0.00032968448808716076,0.03794600155226657,0.3800001037996126
