type,beta,h,m,q0,q1,p,err,beta_p1,h_p1,m_p1,q0_p1,q1_p1,p_p1,err_p1
small M,149.41584929997936,-0.24800117919106324,0.005,2.824738855732933e-5,0.004769836733425331,0.41634639780216326,8.831832810368576e-7,149.41584929997936,-0.2794079536519183,0.005,0.003280522336923193,0.004991644311593703,1.0,9.469051210737233e-7
small M,149.74137402612308,-0.2480042145375673,0.005,2.8247408663289985e-5,0.004770545605086201,0.4154265285241804,8.815914111391741e-7,149.74137402612308,-0.27948819496959026,0.005,0.003284053286924257,0.004991771443270456,1.0,9.54794156295705e-7
small M,150.06689875226687,-0.24800756550610667,0.005,2.824738162626569e-5,0.004771246156757738,0.41451157511261716,9.982562377680096e-7,150.06689875226687,-0.2795687851363129,0.005,0.003287557605163917,0.004991896880825697,1.0,9.641027158060474e-7
small M,150.3924234784106,-0.24801065303575934,0.005,2.8247405382317625e-5,0.0047719450655806985,0.4135999874719403,9.970444146639403e-7,150.3924234784106,-0.2796497284133105,0.005,0.0032910354517631996,0.004992020591769041,1.0,9.733781782871271e-7
small M,150.71794820455435,-0.2480137632221026,0.005,2.824743148851152e-5,0.004772639106024172,0.41269249208820036,9.952107192321898e-7,150.71794820455435,-0.2797310250691345,0.005,0.003294487058182027,0.004992142596957586,1.0,9.82584604870929e-7
small M,151.04347293069807,-0.24801689809730937,0.005,2.8247459562172492e-5,0.004773328297130779,0.4117890653608385,9.933588519038894e-7,151.04347293069807,-0.2798126752686759,0.005,0.003297912654881607,0.0049922629183198255,1.0,9.917231044412518e-7
small M,151.36899765684183,-0.24802005765544938,0.005,2.8247489590076314e-5,0.0047740126835610405,0.4108896792590269,9.914925198626893e-7,151.36899765684183,-0.27989484956127164,0.005,0.0033013093597872743,0.004992378223591664,1.0,9.419562369539538e-7
small M,151.69452238298558,-0.24802324187650926,0.005,2.8247521561404213e-5,0.0047746923096324495,0.40999430598903897,9.896118195164218e-7,151.69452238298558,-0.2799772138259129,0.005,0.0033046835088549774,0.00499249516655855,1.0,9.48989447964457e-7
small M,152.0200471091293,-0.24802645073904409,0.005,2.8247555465442704e-5,0.004775367219163084,0.4091029180196397,9.877168229232413e-7,152.0200471091293,-0.280059928060979,0.005,0.003308032396984853,0.004992610543940685,1.0,9.573701060315095e-7
small M,152.34557183527306,-0.24802968422027008,0.005,2.8247591291567483e-5,0.00477603745547758,0.40821548807905034,9.858076040599606e-7,152.34557183527306,-0.28014299639824036,0.005,0.003311356171003348,0.004992724323956422,1.0,9.65729765494448e-7
small M,152.67109656141682,-0.24803294229608103,0.005,2.8247629029241562e-5,0.004776703061413949,0.4073319891517905,9.838842347439444e-7,152.67109656141682,-0.28022641910151447,0.005,0.0033146550456614548,0.004992836526014663,1.0,9.740362749258076e-7
small M,152.99662128756057,-0.24803622494106112,0.005,2.8247668668013533e-5,0.0047773640793303705,0.40645239447556136,9.81946789430852e-7,152.99662128756057,-0.2803101963383984,0.005,0.00331792923481277,0.004992947170499563,1.0,9.82290469453129e-7
small M,153.3221460137043,-0.2480395321285006,0.005,2.824771019751582e-5,0.0047780205511117925,0.4055766775381824,9.79995337898063e-7,153.3221460137043,-0.2803943282736743,0.005,0.0033211789497556207,0.004993056277577689,1.0,9.90493957802493e-7
small M,153.64767073984805,-0.24804286383041102,0.005,2.8247753607462894e-5,0.004778672518176425,0.40470481207456677,9.780299542404388e-7,153.64767073984805,-0.2804788150713886,0.005,0.0033244043992366125,0.004993163867171242,1.0,9.986483204263714e-7
small M,153.9731954659918,-0.24804622001753734,0.005,2.8247798887649734e-5,0.004779320021482205,0.403836772063748,9.760507075147217e-7,153.9731954659918,-0.2805638340456063,0.005,0.0033276026360766335,0.004993266700730108,1.0,9.476536538966648e-7
small M,154.29872019213553,-0.248049600659375,0.005,2.8247846027950264e-5,0.004779963101533054,0.40297253172595443,9.740576755329773e-7,154.29872019213553,-0.28064903736297975,0.005,0.0033307800686376717,0.004993371240317155,1.0,9.538712673809329e-7
small M,154.6242449182793,-0.24805300572418268,0.005,2.8247895018315967e-5,0.004780601798385118,0.4021120655197199,9.720509175155935e-7,154.6242449182793,-0.28073459201857454,0.005,0.0033339339186656595,0.004993474373492808,1.0,9.613869033872694e-7
small M,154.94976964442301,-0.24805643517899634,0.005,2.824794584877326e-5,0.004781236151652757,0.40125534813902175,9.700305163111745e-7,154.94976964442301,-0.2808205020904927,0.005,0.0033370643153541276,0.004993576067624503,1.0,9.688940222073673e-7
small M,155.27529437056677,-0.24805988898964515,0.005,2.8247998509423547e-5,0.004781866200514662,0.4004023545105104,9.679965404945434e-7,155.27529437056677,-0.2809067678280911,0.005,0.003340171453700187,0.004993676340273177,1.0,9.763633018730253e-7
small M,155.60081909671052,-0.24806336712076493,0.005,2.8248052990440586e-5,0.004782491983719643,0.3995530597907222,9.659490584000996e-7,155.60081909671052,-0.280993389388663,0.005,0.003343255528000559,0.004993775209919226,1.0,9.8379528866452e-7
small M,155.92634382285428,-0.2480668695358094,0.005,2.8248109282070007e-5,0.004783113539592524,0.39870743936337144,9.638881438789702e-7,155.92634382285428,-0.2810803669250727,0.005,0.0033463167303313503,0.0049938726948434205,1.0,9.91191194383263e-7
